case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-1552/2025 ~ М-1149/2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=4399214&case_uid=dda79a87-8217-464b-8105-8a4d3bf37d67&delo_id=1540005,18.03.2025,Радюк Елена Валентиновна,29.05.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",14.07.2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=22309656&delo_id=1540005&new=0&text_number=1,6
2-1617/2025 ~ М-1119/2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=4336187&case_uid=9fe1d0fc-7b85-4089-8c3e-7f7450af9bd5&delo_id=1540005,17.03.2025,Джус Юлия Сергеевна,28.04.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",17.06.2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=22770967&delo_id=1540005&new=0&text_number=1,6
2-1708/2025 ~ М-1117/2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=4336171&case_uid=e0cdc088-1462-410e-9166-7aead6492815&delo_id=1540005,17.03.2025,Кирьязиев Владимир Алексеевич,12.05.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",27.06.2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=11340361&delo_id=1540005&new=0&text_number=1,6
2-1709/2025 ~ М-1116/2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=4336168&case_uid=6e7868dd-9d8d-4539-8a72-ce93d241b950&delo_id=1540005,17.03.2025,Кирьязиев Владимир Алексеевич,12.05.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",28.06.2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=10683385&delo_id=1540005&new=0&text_number=1,6
2-1621/2025 ~ М-1115/2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=4336156&case_uid=84f6fa46-6f65-406b-9254-528752a383ff&delo_id=1540005,17.03.2025,Джус Юлия Сергеевна,28.04.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",17.06.2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=22770964&delo_id=1540005&new=0&text_number=1,6
2-1620/2025 ~ М-1113/2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=4336133&case_uid=866adefc-f938-4a23-91fd-85f68eeaca4a&delo_id=1540005,17.03.2025,Джус Юлия Сергеевна,28.04.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",17.06.2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=22770966&delo_id=1540005&new=0&text_number=1,6
2-1619/2025 ~ М-1112/2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=4335336&case_uid=f3566796-e00d-4859-b7dc-dac6585f1093&delo_id=1540005,17.03.2025,Джус Юлия Сергеевна,28.04.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",09.04.2026,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=22770965&delo_id=1540005&new=0&text_number=1,6
2-1152/2025 ~ М-654/2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=494562&case_uid=5d7887a8-5537-4fc7-8813-f59652367163&delo_id=1540005,13.02.2025,Антонов Александр Анатольевич,07.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",08.04.2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=22129930&delo_id=1540005&new=0&text_number=1,6
2-1145/2025 ~ М-653/2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=507052&case_uid=8a8fabb9-391b-4014-a896-3cfafb1d1af7&delo_id=1540005,13.02.2025,Титова Ольга Александровна,28.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.05.2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=7613010&delo_id=1540005&new=0&text_number=1,6
2-1115/2025 ~ М-646/2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=506552&case_uid=00fdf486-4cdb-417f-8705-f3d630a1ee06&delo_id=1540005,12.02.2025,Клавдеева Ольга Максимовна,12.05.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",24.06.2025,,6
2-1046/2025 ~ М-645/2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=506401&case_uid=b13f8639-0366-41cd-baff-f30dad69eca0&delo_id=1540005,12.02.2025,Сидюк Анна Анатольевна,31.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",06.05.2025,,6
2-1042/2025 ~ М-644/2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=506344&case_uid=852fec3b-e183-4e6b-a5af-1bd2880ddfcb&delo_id=1540005,12.02.2025,Титова Ольга Александровна,18.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",06.05.2025,https://bud--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=7613006&delo_id=1540005&new=0&text_number=1,6
