case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-3455/2024 ~ М-2129/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5351992&case_uid=edaacc25-a68d-4dac-94b9-59afda8e7dcf&delo_id=1540005,11.11.2024,Романов Дмитрий Сергеевич,05.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,41
2-3454/2024 ~ М-2128/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5351968&case_uid=90b7ab64-dd9e-410b-8732-74ab5bb95902&delo_id=1540005,11.11.2024,Романов Дмитрий Сергеевич,05.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",10.01.2025,,41
2-3641/2024 ~ М-2127/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5351944&case_uid=65679a9d-7ae9-4d9f-8e4e-2d02cd9c4aee&delo_id=1540005,11.11.2024,Мяконькая Татьяна Александровна,23.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",29.01.2025,,41
2-193/2025 (2-3558/2024;) ~ М-2126/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5351835&case_uid=95decae3-3b89-4870-a59e-e9f801d3558f&delo_id=1540005,11.11.2024,Сазонова Юлия Юрьевна,09.01.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,,41
2-3436/2024 ~ М-2125/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5351822&case_uid=78875f34-a4e3-421a-b02e-89e4fc2753b4&delo_id=1540005,11.11.2024,Романов Дмитрий Сергеевич,05.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",06.01.2025,,41
2-3464/2024 ~ М-2124/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5351809&case_uid=40d78dfc-584f-4fca-82c4-503be8f6cc61&delo_id=1540005,11.11.2024,Кралинина Наталья Геннадьевна,10.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",20.01.2025,,41
2-3642/2024 ~ М-2123/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5351790&case_uid=02f65861-3bc3-46bb-9730-b785cc82cd5f&delo_id=1540005,11.11.2024,Мяконькая Татьяна Александровна,23.12.2024,Производство по делу ПРЕКРАЩЕНО,11.01.2025,,41
2-192/2025 (2-3557/2024;) ~ М-2122/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5351781&case_uid=dfc3d2f3-a945-486b-bafb-724e64b43627&delo_id=1540005,11.11.2024,Сазонова Юлия Юрьевна,09.01.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",11.02.2025,,41
2-3435/2024 ~ М-2121/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5351768&case_uid=d86ab2b0-3e2a-4c89-8b88-744e8864c9d1&delo_id=1540005,11.11.2024,Романов Дмитрий Сергеевич,05.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",06.01.2025,,41
2-3462/2024 ~ М-2120/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5351747&case_uid=d4e474b5-a1fe-4849-8eef-6678e321d1d6&delo_id=1540005,11.11.2024,Кралинина Наталья Геннадьевна,10.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",20.01.2025,,41
2-3643/2024 ~ М-2119/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5351709&case_uid=674dc38a-ac44-42b1-8c20-b9526b2fd767&delo_id=1540005,11.11.2024,Мяконькая Татьяна Александровна,23.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",29.01.2025,,41
2-191/2025 (2-3556/2024;) ~ М-2118/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5351667&case_uid=9f040e3f-9e91-419f-ae5d-d0657e3fc1ea&delo_id=1540005,11.11.2024,Сазонова Юлия Юрьевна,09.01.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",31.01.2025,,41
2-3437/2024 ~ М-2117/2024,https://mar-zhovt--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=5351654&case_uid=3739c1bb-e08e-4b1f-ac27-1cbf187ce647&delo_id=1540005,11.11.2024,Романов Дмитрий Сергеевич,05.12.2024,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",06.01.2025,,41
