case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-8757/2025 ~ М-11707/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19793815&case_uid=359bf55f-a5a8-4029-a104-950e51e248d1&delo_id=1540005,03.10.2025,Аникеева Диана Арзуниковна,01.12.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,5
2-32/2026 (2-8870/2025;) ~ М-11691/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19795043&case_uid=051d37d6-6b04-4a7f-90bb-152cd94d68e2&delo_id=1540005,02.10.2025,Егорова Ольга Васильевна,19.01.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",20.02.2026,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=25029683&delo_id=1540005&new=0&text_number=1,5
2-9091/2025 ~ М-11690/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19795031&case_uid=d45cca92-cd99-4d51-a199-7c5145f32748&delo_id=1540005,02.10.2025,Родина Неля Владимировна,24.12.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",27.01.2026,,5
2-25/2026 (2-8596/2025;) ~ М-11339/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19795130&case_uid=b00482a4-c601-4a02-85f3-0887c777b9c5&delo_id=1540005,24.09.2025,Егорова Ольга Васильевна,10.03.2026,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",26.03.2026,,5
2-8458/2025 ~ М-11338/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19795117&case_uid=58d01a0b-f2b7-4243-b156-76741dd2b1ca&delo_id=1540005,24.09.2025,Аникеева Диана Арзуниковна,04.12.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,5
2-8347/2025 ~ М-11337/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19795106&case_uid=aba2ff38-2d12-4f9f-a3e0-8222f6e1b033&delo_id=1540005,24.09.2025,Симонова Елена Анатольевна,24.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,5
2-8444/2025 ~ М-11336/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19795094&case_uid=4eb225fe-53c6-491b-a649-c73a7bec6727&delo_id=1540005,24.09.2025,Аникеева Диана Арзуниковна,01.12.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,6
2-8450/2025 ~ М-11335/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19795082&case_uid=15e75847-d264-4f48-9f39-a626df10899e&delo_id=1540005,24.09.2025,Аникеева Диана Арзуниковна,01.12.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.01.2026,,6
2-8696/2025 ~ М-11334/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19795072&case_uid=97da355c-4ef0-4950-a616-6ad0923580fc&delo_id=1540005,24.09.2025,Вострикова Оксана Михайловна,17.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",18.12.2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=23552350&delo_id=1540005&new=0&text_number=1,6
2-26/2026 (2-8662/2025;) ~ М-11173/2025,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19791112&case_uid=d9a8d08b-fe1b-46f5-8141-fc6c6bce0bbc&delo_id=1540005,19.09.2025,Вострикова Оксана Михайловна,21.01.2026,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",24.02.2026,https://cg-gorl--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=30048187&delo_id=1540005&new=0&text_number=1,6
