case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-837/2025 ~ М-693/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608147&case_uid=7c366bc4-0ab4-4c7c-baa0-8bfa3de0ff11&delo_id=1540005,27.08.2025,Попова Инна Константиновна,24.11.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",16.12.2025,,8
2-836/2025 ~ М-692/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608142&case_uid=680b80f1-bd4c-40b2-9bdd-66b67836e6d2&delo_id=1540005,27.08.2025,Шемигон Ирина Викторовна,28.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",01.12.2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=20974200&delo_id=1540005&new=0&text_number=1,8
2-835/2025 ~ М-691/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608137&case_uid=fa8f0702-c107-427e-8404-3f9990bc43d8&delo_id=1540005,27.08.2025,Шемигон Ирина Викторовна,28.10.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",20.11.2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=21046264&delo_id=1540005&new=0&text_number=1,8
2-834/2025 ~ М-690/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608124&case_uid=382442df-e4cd-4aee-aa79-55ae10b3d720&delo_id=1540005,27.08.2025,Шемигон Ирина Викторовна,28.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",01.12.2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=20974199&delo_id=1540005&new=0&text_number=1,8
2-833/2025 ~ М-689/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608119&case_uid=34ac4961-91bd-47f8-8752-befad024b430&delo_id=1540005,27.08.2025,Шемигон Ирина Викторовна,28.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",01.12.2025,,8
2-832/2025 ~ М-688/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608114&case_uid=6def3cc7-64b1-40ba-97fe-d9a11f9e9bf0&delo_id=1540005,27.08.2025,Попова Инна Константиновна,24.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",25.12.2025,,8
2-831/2025 ~ М-687/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608109&case_uid=6fcbf816-559f-43b3-8304-b399e8d2ac3e&delo_id=1540005,27.08.2025,Попова Инна Константиновна,24.11.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",25.12.2025,,8
2-830/2025 ~ М-686/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608104&case_uid=f034f7cd-6e6c-4365-8e99-ac3ba2315db1&delo_id=1540005,27.08.2025,Шемигон Ирина Викторовна,28.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",01.12.2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=21046263&delo_id=1540005&new=0&text_number=1,8
2-829/2025 ~ М-685/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608099&case_uid=4c7acca8-7c46-463a-922e-fd5ead261e47&delo_id=1540005,27.08.2025,Шемигон Ирина Викторовна,28.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",01.12.2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=20974206&delo_id=1540005&new=0&text_number=1,8
2-828/2025 ~ М-684/2025,https://mng--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=11608094&case_uid=ef9015cf-3749-47be-82c5-1cd9fbd66fbb&delo_id=1540005,27.08.2025,Попова Инна Константиновна,20.11.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",12.12.2025,,8
