case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-1562/2025 ~ М-1243/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=7988023&case_uid=0a254319-cdeb-4726-8084-78afb175516d&delo_id=1540005,29.05.2025,Павленко Денис Константинович,02.07.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",24.07.2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=18905100&delo_id=1540005&new=0&text_number=1,6
2-1547/2025 ~ М-1242/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=7988018&case_uid=34af0614-ce50-41dc-a19b-4f11f137c565&delo_id=1540005,29.05.2025,Ахтямова Эльвира Саматовна,28.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",01.09.2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=12689863&delo_id=1540005&new=0&text_number=1,6
2-1546/2025 ~ М-1241/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=7988013&case_uid=90a3955c-8eb4-4bc2-93a4-c09cad5a5135&delo_id=1540005,29.05.2025,Ахтямова Эльвира Саматовна,16.07.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",07.08.2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=12689854&delo_id=1540005&new=0&text_number=1,6
2-1561/2025 ~ М-1240/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=7988001&case_uid=9373cb87-fec8-41ec-9a30-9d3776920f00&delo_id=1540005,29.05.2025,Павленко Денис Константинович,02.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",18.08.2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=18905101&delo_id=1540005&new=0&text_number=1,6
2-1560/2025 ~ М-1239/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=7987996&case_uid=74c762b1-84cb-4b5a-b9c5-e6abed42a653&delo_id=1540005,29.05.2025,Павленко Денис Константинович,02.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",18.08.2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=18905102&delo_id=1540005&new=0&text_number=1,6
2-1545/2025 ~ М-1238/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=7987987&case_uid=e0f275bc-5f10-4397-8b7d-0ba6c893b258&delo_id=1540005,29.05.2025,Ахтямова Эльвира Саматовна,16.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=12295603&delo_id=1540005&new=0&text_number=1,6
2-1551/2025 ~ М-1237/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=7987982&case_uid=a8d165b1-5e39-4b99-9ed4-a7a143533fce&delo_id=1540005,29.05.2025,Митерев Эльдар Евгеньевич,29.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",01.09.2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=16463725&delo_id=1540005&new=0&text_number=1,6
2-1428/2025 ~ М-1125/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=7530736&case_uid=52b07abc-8a9b-42fa-86e6-ba5bddeea060&delo_id=1540005,20.05.2025,Павленко Денис Константинович,25.06.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",11.08.2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=18905093&delo_id=1540005&new=0&text_number=1,6
2-1429/2025 ~ М-1124/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=7530732&case_uid=625395b4-c9a5-48e2-9c70-9fc956181fb3&delo_id=1540005,20.05.2025,Павленко Денис Константинович,25.06.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",11.08.2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=18905092&delo_id=1540005&new=0&text_number=1,6
2-1430/2025 ~ М-1123/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=7530728&case_uid=8b78f8cc-f60c-4903-9190-1ea3c2a92055&delo_id=1540005,20.05.2025,Павленко Денис Константинович,25.06.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",11.08.2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=18905091&delo_id=1540005&new=0&text_number=1,6
2-1422/2025 ~ М-1112/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=7494087&case_uid=dbc2400c-1c8f-4b2a-a480-10c0b022d23a&delo_id=1540005,19.05.2025,Павленко Денис Константинович,20.06.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",05.08.2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=18905087&delo_id=1540005&new=0&text_number=1,6
2-1421/2025 ~ М-1111/2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=7494082&case_uid=d7b2da6e-a2b7-487f-9b8d-2d53908d8744&delo_id=1540005,19.05.2025,Павленко Денис Константинович,20.06.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",05.08.2025,https://mar-ordzh--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=18905086&delo_id=1540005&new=0&text_number=1,6
