case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-1204/2025 ~ М-1266/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19033545&case_uid=0a4cbf27-410b-4642-9146-04b7de296cbf&delo_id=1540005,30.07.2025,Федько Светлана Павловна,10.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",21.11.2025,,4
2-1205/2025 ~ М-1265/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19033532&case_uid=16253af6-21b7-428f-88ba-138cc1271e4a&delo_id=1540005,30.07.2025,Федько Светлана Павловна,10.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",21.11.2025,,4
2-1206/2025 ~ М-1264/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19033519&case_uid=7da5a21a-9a95-4154-8309-d1e5d08c2db6&delo_id=1540005,30.07.2025,Федько Светлана Павловна,13.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",25.11.2025,,4
2-1207/2025 ~ М-1263/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19033493&case_uid=2786f797-987e-4381-b3d3-f05a110fd49e&delo_id=1540005,30.07.2025,Федько Светлана Павловна,13.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",25.11.2025,,4
2-1208/2025 ~ М-1262/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19033465&case_uid=ab57f511-da7f-4294-97ab-48cf771824eb&delo_id=1540005,30.07.2025,Федько Светлана Павловна,14.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",25.11.2025,,4
2-1209/2025 ~ М-1261/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19033431&case_uid=23b36def-e1fa-4153-9363-dd3e2792fcb1&delo_id=1540005,30.07.2025,Федько Светлана Павловна,14.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",25.11.2025,,4
2-1210/2025 ~ М-1260/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19033418&case_uid=b59264e6-a3df-4c43-b907-6521f1273e55&delo_id=1540005,30.07.2025,Федько Светлана Павловна,15.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",25.11.2025,,5
2-1211/2025 ~ М-1259/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19033355&case_uid=ede41be0-bb87-4aa4-880b-0ebb0d80875a&delo_id=1540005,30.07.2025,Федько Светлана Павловна,15.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",25.11.2025,,5
2-1212/2025 ~ М-1258/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19033320&case_uid=caac02d7-224b-4fbb-86f8-e75398c74010&delo_id=1540005,30.07.2025,Федько Светлана Павловна,16.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",25.11.2025,,5
2-1213/2025 ~ М-1257/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19033293&case_uid=e3015a87-e41e-4648-8d32-152c39b0db66&delo_id=1540005,30.07.2025,Федько Светлана Павловна,16.10.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",25.11.2025,,5
2-1214/2025 ~ М-1256/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19033109&case_uid=4d1f173b-825f-4d3d-96ed-7de8933ff5e4&delo_id=1540005,30.07.2025,Федько Светлана Павловна,16.10.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",10.11.2025,,5
2-697/2025 ~ М-652/2025,https://yasin--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=19025749&case_uid=a77b690c-fc75-4e5d-ba98-6fe1d570fbf1&delo_id=1540005,15.04.2025,Федько Светлана Павловна,11.06.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",22.07.2025,,5
