case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-56/2025 (2-438/2024;),https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184887&case_uid=d8692312-76cb-4c15-b29e-475d34d7b49d&delo_id=1540005,03.12.2024,Чинёнов Александр Викторович,11.04.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.05.2025,,8
2-55/2025 (2-437/2024;),https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184930&case_uid=13b82e46-adc2-443b-83ba-4ea43295ccd9&delo_id=1540005,03.12.2024,Чинёнов Александр Викторович,11.04.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.05.2025,,8
2-54/2025 (2-436/2024;),https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184940&case_uid=971bdd96-2171-4205-8b44-8b141bd9b207&delo_id=1540005,03.12.2024,Чинёнов Александр Викторович,11.04.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.05.2025,,8
2-39/2025 (2-418/2024;),https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184951&case_uid=5add8b66-534f-406d-872e-4e4b3209757f&delo_id=1540005,25.11.2024,Чинёнов Александр Викторович,11.04.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",13.05.2025,,8
2-44/2025 (2-424/2024;) ~ М-372/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184096&case_uid=242ce89d-e799-435e-88e2-1785ab949d7b&delo_id=1540005,22.11.2024,Бойко Николай Иванович,16.01.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",20.02.2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=14957115&delo_id=1540005&new=0&text_number=1,8
2-52/2025 (2-433/2024;),https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184974&case_uid=27dbeaae-6da2-41d3-b7c3-8ea2912565f2&delo_id=1540005,11.11.2024,Чинёнов Александр Викторович,10.03.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",01.04.2025,,8
2-29/2025 (2-390/2024;) ~ М-345/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184586&case_uid=17da2ed7-ad6a-4e53-9bc5-d9826a08fec3&delo_id=1540005,07.11.2024,Бойко Николай Иванович,13.01.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",29.01.2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=14957114&delo_id=1540005&new=0&text_number=1,8
2-28/2025 (2-389/2024;) ~ М-344/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184537&case_uid=f3fb200a-acd8-4883-9184-4405b46485a0&delo_id=1540005,07.11.2024,Бойко Николай Иванович,06.02.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",24.02.2025,,8
2-27/2025 (2-388/2024;) ~ М-343/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184520&case_uid=5121ce58-9186-4d50-b24e-2c9149e3c04f&delo_id=1540005,07.11.2024,Бойко Николай Иванович,13.01.2025,"Иск (заявление, жалоба) ОСТАВЛЕН БЕЗ РАССМОТРЕНИЯ",29.01.2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=14957113&delo_id=1540005&new=0&text_number=1,8
2-26/2025 (2-386/2024;) ~ М-341/2024,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=2184503&case_uid=ac470982-b9e0-48d5-beba-62a240f6e665&delo_id=1540005,07.11.2024,Бойко Николай Иванович,21.01.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",28.02.2025,https://tlm--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=doc&number=16934724&delo_id=1540005&new=0&text_number=1,8
