case_number,case_link,date_of_receipt,judge,decision_date,solution,entry_into_force_date,judicial_acts_link,source_page
2-262/2025 ~ М-222/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=7970818&case_uid=0b2756db-b98b-4b8c-93b3-395f6ee4b579&delo_id=1540005,29.05.2025,Мурашко Екатерина Валериевна,08.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",24.12.2025,,2
2-261/2025 ~ М-221/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=7970813&case_uid=722b2c44-1d25-4e1d-a1e1-abf47e0d23d5&delo_id=1540005,29.05.2025,Мурашко Екатерина Валериевна,08.07.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",12.08.2025,,2
2-144/2025 ~ М-98/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=4728070&case_uid=9815ae30-aec9-489c-a9d3-88cdc69ed613&delo_id=1540005,26.03.2025,Шурда Елена Игоревна,15.05.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",17.06.2025,,2
2-143/2025 ~ М-97/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=4728065&case_uid=bdd85c08-5dda-4c5b-ac1c-1d2b1a1d3c20&delo_id=1540005,26.03.2025,Шурда Елена Игоревна,30.04.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",02.06.2025,,2
2-141/2025 ~ М-96/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=4728060&case_uid=9b032e2f-6f20-4252-ad0a-2a1897772c79&delo_id=1540005,26.03.2025,Шурда Елена Игоревна,30.04.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",02.06.2025,,2
2-140/2025 ~ М-95/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=4728055&case_uid=320bd685-d271-4c2b-9794-510ce10ecf7b&delo_id=1540005,26.03.2025,Шурда Елена Игоревна,30.04.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",02.06.2025,,2
2-142/2025 ~ М-94/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=4727984&case_uid=0f00279d-a9a8-4730-b30b-4a771030f9e4&delo_id=1540005,26.03.2025,Шурда Елена Игоревна,16.05.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",06.08.2025,,2
2-118/2025 ~ М-71/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=3935882&case_uid=3b7e7ba5-3bd0-4399-aa46-d6075c291e37&delo_id=1540005,25.02.2025,Мурашко Екатерина Валериевна,22.04.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",23.05.2025,,2
2-117/2025 ~ М-70/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=3935874&case_uid=9f4ceafa-de93-4033-b963-7bf2ca0daff5&delo_id=1540005,25.02.2025,Мурашко Екатерина Валериевна,22.04.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",23.05.2025,,2
2-116/2025 ~ М-69/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=3935865&case_uid=05c24c48-bef1-4f1d-833b-82863997901f&delo_id=1540005,25.02.2025,Мурашко Екатерина Валериевна,22.04.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",23.05.2025,,2
2-115/2025 ~ М-68/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=3935857&case_uid=d84cbede-0453-412d-b550-4658dcd6bb48&delo_id=1540005,25.02.2025,Мурашко Екатерина Валериевна,31.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",05.05.2025,,2
2-114/2025 ~ М-67/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=3935848&case_uid=162c683d-db6f-4d24-9245-e2c1e692c017&delo_id=1540005,25.02.2025,Мурашко Екатерина Валериевна,31.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",11.06.2025,,2
2-113/2025 ~ М-66/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=3935839&case_uid=5bfc7a7a-e46b-44e7-aa85-db9b9e268e80&delo_id=1540005,25.02.2025,Мурашко Екатерина Валериевна,22.04.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",23.05.2025,,2
2-69/2025 ~ М-24/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=3935418&case_uid=ecc4915c-74b1-4ba7-b437-03cb7ee3b8c9&delo_id=1540005,29.01.2025,Мурашко Екатерина Валериевна,28.02.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",31.03.2025,,2
2-68/2025 ~ М-23/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=3935403&case_uid=5f1f86d6-34b7-4d6c-806f-28e41d97db18&delo_id=1540005,29.01.2025,Мурашко Екатерина Валериевна,18.03.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",21.04.2025,,2
2-72/2025 ~ М-22/2025,https://vld--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=3935391&case_uid=b9cdf6af-7972-49e3-9984-f5db346e08e3&delo_id=1540005,29.01.2025,Шурда Елена Игоревна,21.02.2025,"Иск (заявление, жалоба) УДОВЛЕТВОРЕН",24.03.2025,,3
